Question,Test_Num,Input,Expected_Output,Function_Call
1,1,1,1073741824,lab1Question1(1)
1,2,128,137438953472,lab1Question1(128)
1,3,0,0,lab1Question1(0)
2,1,John,False,lab1Question2('John')
2,2,Janet,True,lab1Question2('Janet')
2,3,Laquisha,False,lab1Question2('Laquisha')
3,1,"('Hello', 0)",H,"lab1Question3('Hello', 0)"
3,2,"('Yesterday', 3)",t,"lab1Question3('Yesterday', 3)"
3,3,"('Tomorrow', 148)",-1,"lab1Question3('Tomorrow', 148)"
5,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,"lab1Question5([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)"
5,2,"[1, 2, 3, 3, 3, 4, 5, 1, 2, 7, 7, 7, 7, 7, 7, 7, 456, 456]",7,"lab1Question5([1, 2, 3, 3, 3, 4, 5, 1, 2, 7, 7, 7, 7, 7, 7, 7, 456, 456)"
5,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,"lab1Question5([1, 2, 3, 4, 5, 6, 7, 8, 9, 10)"
6,1,"(4, 3, 2, 1)",1.4100000000000001,"lab1Question6(4, 3, 2, 1)"
6,2,"(0, 0, 0, 0)",0.0,"lab1Question6(0, 0, 0, 0)"
6,3,"(1, 1, 1, 1)",0.41,"lab1Question6(1, 1, 1, 1)"
